w, grad11, grad21, grad12, grad22,P11, P21, P12, P22, c11, c12, c13, c14, c21, c22, c23, c24, c31, c32, c33, c34, c41, c42, c43, c44
0.602615,-0.0129194,-0.186806,0.177199,0.0055789,0.00426927,-0.00155473,0.00116142,0.0107507,0.476616,-0.0787937,0.0269075,0.0979306,-0.0787937,0.0773334,0.0517846,-0.0297484,0.0269075,0.0517846,0.078913,0.0703245,0.0979306,-0.0297484,0.0703245,0.468106
0.486337,-0.0144379,-0.180913,0.161021,0.00581744,0.00390856,-0.00328985,-0.000548042,0.0123215,0.616509,-0.0916809,0.0430459,0.157796,-0.0916809,0.131914,0.101078,-0.0487347,0.0430459,0.101078,0.131568,0.0782995,0.157796,-0.0487347,0.0782995,0.606694
0.370059,-0.011561,-0.1846,0.165361,0.00452003,0.00878375,-0.00607972,-0.00153835,0.0171906,0.82088,-0.108989,0.0808245,0.26284,-0.108989,0.231221,0.185296,-0.0817024,0.0808245,0.185296,0.231195,0.10266,0.26284,-0.0817024,0.10266,0.809287
0.253781,-0.00868401,-0.188287,0.169327,0.00262946,0.0152011,-0.00890862,-0.00218619,0.0223068,1.03704,-0.128055,0.124435,0.385957,-0.128055,0.326227,0.263677,-0.116407,0.124435,0.263677,0.328707,0.132572,0.385957,-0.116407,0.132572,1.02441
0.137503,-0.0163542,-0.184166,0.189306,0.00574998,0.0130984,-0.00210853,0.00579397,0.0289957,1.22773,-0.162454,0.156162,0.49053,-0.162454,0.39494,0.313954,-0.156916,0.156162,0.313954,0.393616,0.154803,0.49053,-0.156916,0.154803,1.19118
0.0212255,-0.0163265,-0.203897,0.200219,0.0046506,0.0189135,-0.00678378,0.00406233,0.0344515,1.2813,-0.178921,0.182109,0.521857,-0.178921,0.419251,0.32046,-0.175112,0.182109,0.32046,0.420571,0.178384,0.521857,-0.175112,0.178384,1.24425
0.804948,-0.0162989,-0.223627,0.214321,0.0179279,0.00259128,-0.000677751,0.00167392,0.00835732,0.200206,-0.0440008,0.00466289,0.0183618,-0.0440008,0.0180651,0.00405371,-0.00564438,0.00466287,0.00405371,0.0210533,0.0375427,0.0183618,-0.00564438,0.0375427,0.192865
0.68867,-0.00897298,-0.190159,0.180176,0.00391994,0.00438129,-0.00114553,0.00108652,0.00773072,0.351309,-0.0622004,0.013924,0.055288,-0.0622004,0.0412106,0.0217155,-0.0157085,0.013924,0.0217155,0.041874,0.056276,0.055288,-0.0157085,0.056276,0.347643
0.572392,-0.00759788,-0.198293,0.185374,0.00463057,0.00871612,-0.00285158,0.00129611,0.0129666,0.512363,-0.0862927,0.0340529,0.113832,-0.0862928,0.0991928,0.0653585,-0.0374908,0.0340529,0.0653586,0.0985765,0.077965,0.113832,-0.0374908,0.077965,0.508462
0.456114,-0.00622277,-0.206427,0.190076,0.0141573,0.0153683,-0.00583883,0.00195341,0.0242594,0.645573,-0.102249,0.0580188,0.173771,-0.102249,0.167554,0.116693,-0.0614978,0.0580188,0.116693,0.167345,0.0921434,0.173771,-0.0614978,0.0921434,0.634717
