rx, ry, theta,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.296692,0.165562,0.605435,0.850092,0.0729191,0.0729191,0.281206,0.225337,0.225337,0.0707543,0.225337,0.0707543,0.760934
0.238553,0.0326274,0.194795,1.21857,0.0392291,0.0392291,0.394707,0.322952,0.322952,0.031475,0.322952,0.031475,0.914065
0.180414,0.349693,1.35415,0.857118,-0.043409,-0.043409,0.219843,0.17484,0.17484,-0.0439202,0.17484,-0.0439202,0.560126
0.122275,0.216759,0.943514,1.0323,-0.0496327,-0.0496327,0.387395,0.290634,0.290634,-0.048905,0.290634,-0.048905,0.976679
0.0641361,0.0838245,0.532873,1.26488,-0.0060171,-0.0060171,0.537498,0.366194,0.366194,-0.00571548,0.366194,-0.00571548,1.28074
0.00599716,0.40089,0.122233,1.21063,0.00340214,0.00340214,0.519514,0.364659,0.364659,0.000201684,0.364659,0.000201684,1.31137
0.397858,0.267956,1.28159,0.410632,0.0357741,0.0357741,0.132638,0.0941891,0.0941891,0.0311963,0.0941891,0.0311963,0.615802
0.339719,0.135022,0.870952,0.735086,0.109493,0.109493,0.260549,0.233991,0.233991,0.110425,0.233991,0.110425,0.814296
0.28158,0.00208732,0.460312,1.34615,2.93649e-16,-3.09923e-18,0.576923,0.384615,0.384615,-1.98797e-17,0.384615,-1.98797e-17,1.34615
0.223441,0.319153,0.0496711,0.608252,-0.00581259,-0.00581259,0.222569,0.162869,0.162869,-0.00575324,0.162869,-0.00575324,0.789624
0.165302,0.186219,1.20903,1.00918,-0.00684312,-0.00684312,0.388891,0.281725,0.281725,-0.00775167,0.281725,-0.00775167,0.97959
0.107163,0.0532845,0.79839,1.25756,0.0156992,0.0156992,0.527244,0.363647,0.363647,0.0156992,0.363647,0.0156992,1.25756
0.0490244,0.37035,0.38775,0.605601,-0.108455,-0.108455,0.241278,0.269468,0.269468,-0.126814,0.269468,-0.126814,1.0279
0.440885,0.237416,1.54711,0.295108,0.0064603,0.0064603,0.102333,0.0639615,0.0639615,0.00428658,0.0639615,0.00428658,0.684664
0.382747,0.104482,1.13647,0.575438,0.110068,0.110068,0.226604,0.23043,0.23043,0.12284,0.23043,0.12284,0.910065
0.324608,0.421547,0.725828,0.39978,-0.0355253,-0.0355253,0.0973959,0.0644715,0.0644715,-0.0354326,0.0644715,-0.0354326,0.413954
0.266469,0.288613,0.315188,0.66761,-0.00740391,-0.00740391,0.219697,0.158305,0.158305,-0.00781554,0.158305,-0.00781554,0.698626
0.20833,0.155679,1.47455,0.928756,0.00585055,0.00585055,0.37554,0.273505,0.273505,0.00685199,0.273505,0.00685199,1.0231
0.150191,0.0227444,1.06391,1.18007,0.0320955,0.0320955,0.494861,0.36046,0.36046,0.0353968,0.36046,0.0353968,1.25487
0.0920517,0.33981,0.653266,0.750393,-0.12628,-0.12628,0.270698,0.263715,0.263715,-0.131203,0.263715,-0.131203,0.877009
